"","x"
"1",59.984
"2",59.981
"3",59.981
"4",60.003
"5",59.982
"6",60.005
"7",60.004
"8",59.983
"9",59.981
"10",59.98
"11",60
"12",59.998
"13",59.982
"14",59.983
"15",59.981
"16",59.982
"17",59.999
"18",60.001
"19",59.982
"20",59.988
"21",59.995
"22",59.998
"23",59.982
"24",59.983
"25",59.981
"26",59.994
"27",60.002
"28",59.988
"29",59.98
"30",59.982
"31",59.982
"32",59.983
"33",59.981
"34",59.986
"35",59.987
"36",60.001
"37",59.982
"38",60.003
"39",60.001
"40",59.984
"41",59.985
"42",59.979
"43",59.987
"44",59.99
"45",59.998
"46",59.984
"47",59.989
"48",59.999
"49",59.985
"50",60.003
"51",60.004
"52",60.001
"53",60
"54",59.982
"55",59.981
"56",59.984
"57",59.998
"58",59.983
"59",59.999
"60",59.987
"61",59.991
"62",59.992
"63",59.992
"64",59.983
"65",59.981
"66",59.996
"67",59.997
"68",60
"69",60
"70",59.991
"71",60.002
"72",60.001
"73",59.99
"74",59.987
"75",59.982
"76",60.006
"77",59.981
"78",59.982
"79",59.984
"80",59.985
"81",60.003
"82",60.004
"83",59.992
"84",59.991
"85",59.986
"86",59.992
"87",59.991
"88",59.981
"89",59.998
"90",59.985
"91",60.001
"92",59.98
"93",59.993
"94",59.984
"95",59.981
"96",59.984
"97",59.988
"98",59.999
"99",60
"100",60.001
