"","x"
"1",292
"2",293
"3",294
"4",294
"5",294
"6",294
"7",294
"8",294
"9",295
"10",295
"11",295
"12",295
"13",295
"14",295
"15",295
"16",296
"17",296
"18",296
"19",297
"20",297
"21",297
"22",297
"23",297
"24",298
"25",298
"26",298
"27",298
"28",298
"29",298
"30",298
"31",299
"32",299
"33",299
"34",300
"35",300
"36",300
"37",300
"38",300
"39",301
"40",301
"41",301
"42",301
"43",302
"44",302
"45",302
"46",302
"47",302
"48",302
"49",302
"50",303
"51",303
"52",303
"53",303
"54",303
"55",303
"56",304
"57",304
"58",304
"59",304
"60",304
"61",305
"62",305
"63",305
"64",305
"65",305
"66",305
"67",306
"68",306
"69",306
"70",306
"71",306
"72",306
"73",307
"74",307
"75",307
"76",308
"77",308
"78",308
"79",308
"80",309
"81",309
"82",309
"83",309
"84",309
"85",309
"86",310
"87",310
"88",310
"89",311
"90",312
"91",312
"92",313
"93",313
"94",313
"95",313
"96",315
"97",316
"98",319
"99",320
"100",324
